resource_id,resource_name,resource_type,description,category,brand,model_number,serial_number,purchase_date,purchase_cost,current_value,warranty_expiration,location,condition,maintenance_schedule,last_maintenance_date,checkout_allowed,max_checkout_days,requires_training,responsible_staff_id,insurance_value,status,created_at,updated_at
RES-5600,Recording Studio,Camera Equipment,Recording Studio - Available for student and program use,Media Production,Canon,MDL-561000,SN-610000,2025-04-01,2794.00,1705.00,2025-04-01,Equipment Room,Excellent,Monthly,2025-04-01,true,1,true,STF-0039,8763.00,Available,2022-11-06T00:00:00.000Z,2023-02-04T00:00:00.000Z
RES-5600,Green Screen Studio,Camera Equipment,Green Screen Studio - Available for student and program use,Media Production,Canon,MDL-561001,SN-610001,2025-04-02,2795.00,1706.00,2025-04-02,Studio A,Excellent,Monthly,2025-04-02,true,1,true,STF-0036,8764.00,Available,2022-11-07T00:00:00.000Z,2023-02-05T00:00:00.000Z
RES-5600,Computer Lab,Camera Equipment,Computer Lab - Available for student and program use,Media Production,Canon,MDL-561002,SN-610002,2025-04-03,2796.00,1707.00,2025-04-03,Studio B,Excellent,Monthly,2025-04-03,true,1,true,STF-0003,8765.00,Available,2022-11-08T00:00:00.000Z,2023-02-06T00:00:00.000Z
RES-5600,Collaboration Space,Camera Equipment,Collaboration Space - Available for student and program use,Media Production,Canon,MDL-561003,SN-610003,2025-04-04,2797.00,1708.00,2025-04-04,Computer Lab,Excellent,Monthly,2025-04-04,true,1,true,STF-0030,8766.00,Available,2022-11-09T00:00:00.000Z,2023-02-07T00:00:00.000Z
RES-5600,Laptop Checkout,Camera Equipment,Laptop Checkout - Available for student and program use,Media Production,Canon,MDL-561004,SN-610004,2025-04-05,2798.00,1709.00,2025-04-05,Conference Room,Excellent,Monthly,2025-04-05,true,1,true,STF-0002,8767.00,Available,2022-11-10T00:00:00.000Z,2023-02-08T00:00:00.000Z
RES-5600,Tablet - iPad,Camera Equipment,Tablet - iPad - Available for student and program use,Media Production,Canon,MDL-561005,SN-610005,2025-04-06,2799.00,1710.00,2025-04-06,Reception,Excellent,Monthly,2025-04-06,true,1,true,STF-0047,8768.00,Available,2022-11-11T00:00:00.000Z,2023-02-09T00:00:00.000Z
RES-5600,Drawing Tablet - Wacom,Camera Equipment,Drawing Tablet - Wacom - Available for student and program use,Media Production,Canon,MDL-561006,SN-610006,2025-04-07,2800.00,1711.00,2025-04-07,Mobile Cart,Excellent,Monthly,2025-04-07,true,1,true,STF-0002,8769.00,Available,2022-11-12T00:00:00.000Z,2023-02-10T00:00:00.000Z
RES-5600,Canon EOS R5 Camera,Camera Equipment,Canon EOS R5 Camera - Available for student and program use,Media Production,Canon,MDL-561007,SN-610007,2025-04-08,2801.00,1712.00,2025-04-08,Offsite Storage,Excellent,Monthly,2025-04-08,true,1,true,STF-0002,8770.00,Available,2022-11-13T00:00:00.000Z,2023-02-11T00:00:00.000Z
RES-5600,Sony A7III Camera,Camera Equipment,Sony A7III Camera - Available for student and program use,Media Production,Canon,MDL-561008,SN-610008,2025-04-09,2802.00,1713.00,2025-04-09,Equipment Room,Excellent,Monthly,2025-04-09,true,1,true,STF-0030,8771.00,Available,2022-11-14T00:00:00.000Z,2023-02-12T00:00:00.000Z
RES-5600,Blackmagic Pocket Cinema,Camera Equipment,Blackmagic Pocket Cinema - Available for student and program use,Media Production,Canon,MDL-561009,SN-610009,2025-04-10,2803.00,1714.00,2025-04-10,Studio A,Excellent,Monthly,2025-04-10,true,1,true,STF-0042,8772.00,Available,2022-11-15T00:00:00.000Z,2023-02-13T00:00:00.000Z
RES-5600,MacBook Pro 16-inch,Camera Equipment,MacBook Pro 16-inch - Available for student and program use,Media Production,Sony,MDL-561010,SN-610010,2025-04-11,2804.00,1715.00,2025-04-11,Studio B,Excellent,Quarterly,2025-04-11,true,1,true,STF-0027,8773.00,Available,2022-11-16T00:00:00.000Z,2023-02-14T00:00:00.000Z
RES-5600,iMac 27-inch,Camera Equipment,iMac 27-inch - Available for student and program use,Media Production,Sony,MDL-561011,SN-610011,2025-04-12,2805.00,1716.00,2025-04-12,Computer Lab,Excellent,Quarterly,2025-04-12,true,1,true,STF-0011,8774.00,Available,2022-11-17T00:00:00.000Z,2023-02-15T00:00:00.000Z
RES-5600,Dell Workstation,Camera Equipment,Dell Workstation - Available for student and program use,Media Production,Sony,MDL-561012,SN-610012,2025-04-13,2806.00,1717.00,2025-04-13,Conference Room,Excellent,Quarterly,2025-04-13,true,1,true,STF-0042,8775.00,Available,2022-11-18T00:00:00.000Z,2023-02-16T00:00:00.000Z
RES-5600,Adobe Creative Cloud License,Camera Equipment,Adobe Creative Cloud License - Available for student and program use,Media Production,Sony,MDL-561013,SN-610013,2025-04-14,2807.00,1718.00,2025-04-14,Reception,Excellent,Quarterly,2025-04-14,true,1,true,STF-0017,8776.00,Available,2022-11-19T00:00:00.000Z,2023-02-17T00:00:00.000Z
RES-5600,Final Cut Pro License,Camera Equipment,Final Cut Pro License - Available for student and program use,Media Production,Sony,MDL-561014,SN-610014,2025-04-15,2808.00,1719.00,2025-04-15,Mobile Cart,Excellent,Quarterly,2025-04-15,true,1,true,STF-0002,8777.00,Available,2022-11-20T00:00:00.000Z,2023-02-18T00:00:00.000Z
RES-5600,DaVinci Resolve Studio,Computer,DaVinci Resolve Studio - Available for student and program use,Media Production,Sony,MDL-561015,SN-610015,2025-04-16,2809.00,1720.00,2025-04-16,Offsite Storage,Excellent,Quarterly,2025-04-16,true,1,true,STF-0007,8778.00,Available,2022-11-21T00:00:00.000Z,2023-02-19T00:00:00.000Z
RES-5600,Rode Wireless GO II,Computer,Rode Wireless GO II - Available for student and program use,Media Production,Sony,MDL-561016,SN-610016,2025-04-17,2810.00,1721.00,2025-04-17,Equipment Room,Excellent,Quarterly,2025-04-17,true,1,true,STF-0016,8779.00,Available,2022-11-22T00:00:00.000Z,2023-02-20T00:00:00.000Z
RES-5600,Zoom H6 Recorder,Computer,Zoom H6 Recorder - Available for student and program use,Media Production,Sony,MDL-561017,SN-610017,2025-04-18,2811.00,1722.00,2025-04-18,Studio A,Excellent,Quarterly,2025-04-18,true,1,true,STF-0025,8780.00,Available,2022-11-23T00:00:00.000Z,2023-02-21T00:00:00.000Z
